year,major
Junior,Mathematics
Senior,Environmental Studies-Biol
Junior,Biochem and Molecular Biology
Senior,Physics
Senior,Biology
Senior,Mathematics
Senior,Biology
Junior,Mathematics
Junior,Linguistics
Junior,Chemistry
Junior,Mathematics
Sophomore,Economics
Senior,Environmental Studies-Hist
Senior,Psychology
Senior,Biology
Senior,Sociology
Senior,Political Science
Junior,Economics/Mathematics
