Date,Set,Set ID,Sample,Rep (ID),Peak (rt),Peak (area),Peak (height),Comments,Peak round (rt) ,Gas Estimate,nmoles/area,nmoles,volume,time (hr),total ARA (nmoles/mL/hr),nmoles/mL
3/23/15,New Sample-22 hr,NS,a3,1,1.344,16436536,470992,,1.34,Acetylene,8.69E-05,1428.24,2.43,22,157.76,0
3/22/15,New Sample-6 hr,NS,a3,2,1.356,14049510,656467,,1.36,Acetylene,0.00014238,2000.37,2.43,6,810.15,0
3/23/15,New Sample-22 hr,NS,a3,2,0.828,453,78,,0.83,Ethylene,8.69E-05,0.04,2.43,22,0,0.1
3/22/15,New Sample-6 hr,NS,av,1,1.386,15309044,447129,,1.39,Acetylene,0.00014238,2179.7,2.43,6,882.78,0
3/22/15,New Sample-6 hr,NS,av,2,0.846,72873,5183,,0.85,Ethylene,0.00014238,10.38,2.43,6,4.2,25.21
3/23/15,New Sample-22 hr,NS,b1,1,1.336,14948291,890739,,1.34,Acetylene,8.69E-05,1298.92,2.43,22,143.47,0
3/23/15,New Sample-22 hr,NS,b1,2,1.359,15975988,55385,,1.36,Acetylene,8.69E-05,1388.22,2.43,22,153.34,0
3/22/15,New Sample-6 hr,NS,b1,3,1.36,15004742,656290,,1.36,Acetylene,0.00014238,2136.37,2.43,6,865.23,0
3/23/15,New Sample-22 hr,NS,b2,1,1.336,16260000,950592,,1.34,Acetylene,8.69E-05,1412.9,2.43,22,156.06,0
3/22/15,New Sample-6 hr,NS,b2,2,1.343,14998163,503544,delayed start,1.34,Acetylene,0.00014238,2135.44,2.43,6,864.85,0
3/23/15,New Sample-22 hr,NS,b3,1,1.349,15770016,713120,,1.35,Acetylene,8.69E-05,1370.32,2.43,22,151.36,0
3/22/15,New Sample-6 hr,NS,b3,2,1.282,15469817,936603,delayed start,1.28,Acetylene,0.00014238,2202.59,2.43,6,892.05,0
3/23/15,New Sample-22 hr,NS,b3,3,0.819,323,62,,0.82,Ethylene,8.69E-05,0.03,2.43,22,0,0.07
3/23/15,New Sample-22 hr,NS,b4,1,1.363,15396155,532940,,1.36,Acetylene,8.69E-05,1337.83,2.43,22,147.77,0
3/22/15,New Sample-6 hr,NS,b4,2,1.366,9737912,468655,,1.37,Acetylene,0.00014238,1386.48,2.43,6,561.53,0
3/23/15,New Sample-22 hr,NS,c1,1,1.344,14647433,745680,,1.34,Acetylene,8.69E-05,1272.78,2.43,22,140.58,0
3/23/15,New Sample-22 hr,NS,c1,2,1.348,15392465,707519,,1.35,Acetylene,8.69E-05,1337.51,2.43,22,147.73,0
3/22/15,New Sample-6 hr,NS,c1,3,1.371,13442051,487768,,1.37,Acetylene,0.00014238,1913.88,2.43,6,775.12,0
3/23/15,New Sample-22 hr,NS,d1,1,1.348,15304302,686030,,1.35,Acetylene,8.69E-05,1329.85,2.43,22,146.89,0
3/22/15,New Sample-6 hr,NS,d1,2,0.829,229,45,,0.83,Ethylene,0.00014238,0.03,2.43,6,0.01,0.08
3/23/15,New Sample-22 hr,NS,e2,1,1.381,15369947,426302,,1.38,Acetylene,8.69E-05,1335.56,2.43,22,147.52,0
3/22/15,New Sample-6 hr,NS,e2,2,1.352,15336470,871569,,1.35,Acetylene,0.00014238,2183.6,2.43,6,884.36,0
3/22/15,New Sample-6 hr,NS,e2,3,1.364,14981931,651952,,1.36,Acetylene,0.00014238,2133.12,2.43,6,863.92,0
3/23/15,New Sample-22 hr,NS,ec,1,1.331,17081508,815548,,1.33,Acetylene,8.69E-05,1484.28,2.43,22,163.95,0
3/22/15,New Sample-6 hr,NS,ec,3,1.349,15852913,943401,,1.35,Acetylene,0.00014238,2257.13,2.43,6,914.14,0
3/23/15,New Sample-22 hr,NS,ec,2,0.81,296,62,,0.81,Ethylene,8.69E-05,0.03,2.43,22,0,0.06
3/22/15,New Sample-6 hr,NS,ec,4,0.828,241,52,,0.83,Ethylene,0.00014238,0.03,2.43,6,0.01,0.08
3/23/15,New Sample-22 hr,NS,eth,1,0.814,424,54,,0.81,Ethylene,8.69E-05,0.04,2.43,22,0,0.09
3/23/15,New Sample-22 hr,NS,eth,2,0.815,97616,9941,,0.82,Ethylene,8.69E-05,8.48,2.43,22,0.94,20.61
3/23/15,New Sample-22 hr,NS,eth,3,0.816,127946,10139,,0.82,Ethylene,8.69E-05,11.12,2.43,22,1.23,27.02
3/22/15,New Sample-6 hr,NS,eth,4,0.819,3910,668,,0.82,Ethylene,0.00014238,0.56,2.43,6,0.23,1.35
3/22/15,New Sample-6 hr,NS,eth,5,0.825,102994,9980,,0.83,Ethylene,0.00014238,14.66,2.43,6,5.94,35.63
3/22/15,New Sample-6 hr,NS,eth,6,0.826,99586,9829,,0.83,Ethylene,0.00014238,14.18,2.43,6,5.74,34.46
3/22/15,New Sample-6 hr,NS,eth,7,0.831,99063,9180,,0.83,Ethylene,0.00014238,14.1,2.43,6,5.71,34.27
3/23/15,New Sample-22 hr,NS,neg,1,1.368,12227999,347695,,1.37,Acetylene,8.69E-05,1062.54,2.43,22,117.36,0
3/22/15,New Sample-6 hr,NS,neg,2,1.354,11882512,685548,,1.35,Acetylene,0.00014238,1691.83,2.43,6,685.19,0
4/1/15,Old Sample-6 hr,OS,a1,1,1.357,6697970,256136,,1.36,Acetylene,0.000193134,1293.61,2.43,6,523.91,0
4/6/15,Old Sample-6 hr,OS,a1,2,1.385,1710821,64739,,1.39,Acetylene,0.000193134,330.42,2.43,6,133.82,0
4/6/15,Old Sample-6 hr,OS,a1,3,1.415,5533814,133806,,1.42,Acetylene,0.000193134,1068.77,2.43,6,432.85,0
4/14/15,Old Sample-late,OS,a1,4,1.396,9935166,276595,,1.4,Acetylene,0.00055042,5468.51,2.43,316,42.05,0
4/1/15,Old Sample-6 hr,OS,a2,1,1.368,8996316,284994,,1.37,Acetylene,0.000193134,1737.49,2.43,6,703.68,0
4/6/15,Old Sample-6 hr,OS,a2,2,1.393,680155,22065,,1.39,Acetylene,0.000193134,131.36,2.43,6,53.2,0
4/6/15,Old Sample-6 hr,OS,a2,3,1.406,2203699,56676,,1.41,Acetylene,0.000193134,425.61,2.43,6,172.37,0
4/14/15,Old Sample-late,OS,a2,4,1.356,9962898,502277,,1.36,Acetylene,0.00055042,5483.77,2.43,316,42.17,0
4/6/15,Old Sample-6 hr,OS,a2,5,0.839,432,78,,0.84,Ethylene,0.000193134,0.08,2.43,6,0.03,0.2
4/14/15,Old Sample-late,OS,a2,6,0.815,171,41,,0.82,Ethylene,0.00055042,0.09,2.43,316,0,0.23
4/1/15,Old Sample-6 hr,OS,a3,1,1.359,11954152,436165,,1.36,Acetylene,0.000193134,2308.75,2.43,6,935.04,0
4/6/15,Old Sample-6 hr,OS,a3,2,1.363,2071282,123470,,1.36,Acetylene,0.000193134,400.03,2.43,6,162.01,0
4/6/15,Old Sample-6 hr,OS,a3,3,1.384,6082,489,,1.38,Acetylene,0.000193134,1.17,2.43,6,0.48,0
4/14/15,Old Sample-late,OS,a3,4,1.371,10808952,352576,,1.37,Acetylene,0.00055042,5949.46,2.43,316,45.75,0
4/1/15,Old Sample-6 hr,OS,av,1,1.343,13574659,494543,,1.34,Acetylene,0.000193134,2621.73,2.43,6,1061.8,0
4/6/15,Old Sample-6 hr,OS,av,2,1.387,485984,17576,,1.39,Acetylene,0.000193134,93.86,2.43,6,38.01,0
4/6/15,Old Sample-6 hr,OS,av,3,1.431,229834,6109,,1.43,Acetylene,0.000193134,44.39,2.43,6,17.98,0
4/14/15,Old Sample-late,OS,av,7,1.394,9241044,242388,,1.39,Acetylene,0.00055042,5086.45,2.43,316,39.11,0
4/1/15,Old Sample-6 hr,OS,av,4,0.818,541685,44359,,0.82,Ethylene,0.000193134,104.62,2.43,6,42.37,254.22
4/6/15,Old Sample-6 hr,OS,av,5,0.838,21308,1801,,0.84,Ethylene,0.000193134,4.12,2.43,6,1.67,10
4/6/15,Old Sample-6 hr,OS,av,6,0.875,2564,258,,0.88,Ethylene,0.000193134,0.5,2.43,6,0.2,1.2
4/14/15,Old Sample-late,OS,av,8,0.848,464370,26653,,0.85,Ethylene,0.00055042,255.6,2.43,316,1.97,621.1
4/1/15,Old Sample-6 hr,OS,b1,1,1.344,16894492,589675,,1.34,Acetylene,0.000193134,3262.9,2.43,6,1321.47,0
4/6/15,Old Sample-6 hr,OS,b1,2,1.358,4188363,103050,delayed start,1.36,Acetylene,0.000193134,808.91,2.43,6,327.61,0
4/6/15,Old Sample-6 hr,OS,b1,3,1.46,2454658,51645,,1.46,Acetylene,0.000193134,474.08,2.43,6,192,0
4/14/15,Old Sample-late,OS,b1,4,1.34,10371308,259967,machine error (adjusted to appropriate time),1.34,Acetylene,0.00055042,5708.57,2.43,316,43.9,0
4/1/15,Old Sample-6 hr,OS,b2,1,1.378,2080423,64173,,1.38,Acetylene,0.000193134,401.8,2.43,6,162.73,0
4/6/15,Old Sample-6 hr,OS,b2,2,1.388,1587087,52650,,1.39,Acetylene,0.000193134,306.52,2.43,6,124.14,0
4/6/15,Old Sample-6 hr,OS,b2,3,1.401,2933569,72471,,1.4,Acetylene,0.000193134,566.57,2.43,6,229.46,0
4/14/15,Old Sample-late,OS,b2,5,1.363,214,42,,1.36,Acetylene,0.00055042,0.12,2.43,316,0,0
4/6/15,Old Sample-6 hr,OS,b2,4,0.836,480,71,,0.84,Ethylene,0.000193134,0.09,2.43,6,0.04,0.23
4/1/15,Old Sample-6 hr,OS,b3,1,1.357,13376985,581675,,1.36,Acetylene,0.000193134,2583.55,2.43,6,1046.34,0
4/6/15,Old Sample-6 hr,OS,b3,2,1.381,6689657,246179,,1.38,Acetylene,0.000193134,1292,2.43,6,523.26,0
4/6/15,Old Sample-6 hr,OS,b3,3,1.383,886529,31140,,1.38,Acetylene,0.000193134,171.22,2.43,6,69.34,0
4/14/15,Old Sample-late,OS,b3,4,1.34,8485545,198856,machine error (adjusted to appropriate time),1.34,Acetylene,0.00055042,4670.61,2.43,316,35.92,0
4/1/15,Old Sample-6 hr,OS,b4,1,1.37,13173232,435863,,1.37,Acetylene,0.000193134,2544.2,2.43,6,1030.4,0
4/6/15,Old Sample-6 hr,OS,b4,2,1.407,647881,18464,,1.41,Acetylene,0.000193134,125.13,2.43,6,50.68,0
